Question No.,Question,Answer,Category,Difficulty
1,What is the software development lifecycle (SDLC)?,"SDLC is a process for planning, developing, testing, and deploying software systematically.",Software Engineer,Easy
2,What is the difference between functional and non-functional requirements?,"Functional requirements define what the system does, while non-functional requirements define how it performs.",Software Engineer,Easy
3,What is a design pattern in software engineering?,A design pattern is a reusable solution to a common software design problem.,Software Engineer,Easy
4,What is version control?,"Version control is the management of changes to code, documents, and other data.",Software Engineer,Easy
5,What are Agile and Scrum methodologies?,"Agile is a software development methodology emphasizing flexibility, while Scrum is a framework for implementing Agile.",Software Engineer,Easy
6,What is the purpose of unit testing?,Unit testing verifies that individual components of a program work as intended.,Software Engineer,Medium
7,"What is refactoring, and why is it important?","Refactoring is improving the structure of code without altering its functionality, enhancing readability and maintainability.",Software Engineer,Medium
8,What is the difference between a process and a thread?,"A process is an independent program instance, while a thread is a lightweight process within it.",Software Engineer,Medium
9,"What is a REST API, and how does it work?",A REST API uses HTTP methods to enable communication between clients and servers for CRUD operations.,Software Engineer,Medium
10,What is a microservices architecture?,Microservices architecture organizes an application as a collection of loosely coupled services.,Software Engineer,Medium
11,Explain the differences between imperative and declarative programming.,"Imperative specifies ""how"" to achieve results, while declarative specifies ""what"" to achieve.",Software Engineer,Medium
12,What is pair programming?,"Pair programming involves two developers working together, one writing code and the other reviewing it.",Software Engineer,Medium
13,"What is a memory leak, and how do you prevent it?",A memory leak occurs when unused memory is not released; prevention includes proper garbage collection and closing resources.,Software Engineer,Hard
14,What are the principles of object-oriented programming (OOP)?,"Encapsulation, Abstraction, Inheritance, and Polymorphism.",Software Engineer,Hard
15,What is polymorphism in OOP?,Polymorphism allows objects of different classes to be treated as instances of the same class.,Software Engineer,Hard
16,"What is a deadlock, and how can it be resolved?",A deadlock occurs when two processes wait indefinitely for resources. Solutions include resource hierarchy or timeout methods.,Software Engineer,Hard
17,What is continuous integration (CI)?,CI is the practice of merging all developers' working copies to a shared branch frequently.,Software Engineer,Hard
18,What is the difference between synchronous and asynchronous programming?,"Synchronous operations block execution, while asynchronous operations allow execution to continue.",Software Engineer,Hard
19,How does garbage collection work in Java?,Garbage collection in Java automatically deallocates memory for unused objects.,Software Engineer,Hard
20,What is the CAP theorem in distributed systems?,"CAP states that a distributed system cannot simultaneously guarantee Consistency, Availability, and Partition tolerance.",Software Engineer,Hard
21,What is data science?,"Data science is the study of data using statistical, mathematical, and computational techniques.",Data Scientist,Easy
22,What is the role of a data scientist?,"A data scientist analyzes data to extract insights, build models, and guide decision-making.",Data Scientist,Easy
23,What is the difference between supervised and unsupervised learning?,Supervised learning uses labeled data; unsupervised finds patterns in unlabeled data.,Data Scientist,Easy
24,What are the steps in a typical data science workflow?,"Steps include data collection, cleaning, exploration, modeling, and visualization.",Data Scientist,Easy
25,"What is the difference between mean, median, and mode?","Mean is the average, median is the middle value, and mode is the most frequent value.",Data Scientist,Easy
26,"What is overfitting, and how can it be avoided?",Overfitting occurs when a model performs well on training data but poorly on test data.,Data Scientist,Medium
27,What is a confusion matrix?,A confusion matrix evaluates classification performance using metrics like true positives and negatives.,Data Scientist,Medium
28,What is the purpose of feature scaling?,Feature scaling standardizes data to ensure all features contribute equally to the model.,Data Scientist,Medium
29,"What is cross-validation, and why is it used?",Cross-validation splits data into training and testing sets for robust model evaluation.,Data Scientist,Medium
30,What is a p-value in statistics?,A p-value measures the probability that an observed result occurred by chance.,Data Scientist,Medium
31,What is the difference between correlation and causation?,Correlation is a relationship between variables; causation implies one variable affects another.,Data Scientist,Medium
32,What is the purpose of dimensionality reduction?,Dimensionality reduction reduces the number of features while retaining essential information.,Data Scientist,Hard
33,What is regularization in machine learning?,Regularization prevents overfitting by adding a penalty term to the loss function.,Data Scientist,Hard
34,What is the Central Limit Theorem?,It states that the sampling distribution of the mean approaches a normal distribution as sample size increases.,Data Scientist,Hard
35,What is the difference between precision and recall?,Precision measures accuracy of positive predictions; recall measures how many actual positives are identified.,Data Scientist,Hard
36,What is a time series analysis?,Time series analysis examines data points collected over time to identify trends and patterns.,Data Scientist,Hard
37,What is a neural network?,A neural network is a machine learning model inspired by the structure of the human brain.,Data Scientist,Hard
38,What is clustering in data science?,Clustering is an unsupervised technique that groups similar data points together.,Data Scientist,Hard
39,What is the purpose of A/B testing?,A/B testing compares two versions of a product to determine which performs better.,Data Scientist,Hard
40,How do you handle missing data?,"Techniques include imputation, removing affected rows/columns, or using algorithms that handle missing data.",Data Scientist,Hard
42,What is the role of a Product Manager?,"A Product Manager oversees the development, launch, and lifecycle of a product.",Product Manager,Easy
43,What is the difference between a Product Manager and a Project Manager?,Product Managers focus on product vision; Project Managers focus on execution and timelines.,Product Manager,Easy
44,What is a product roadmap?,"A product roadmap outlines the vision, goals, and timeline for a product's development.",Product Manager,Easy
45,What is MVP in product management?,MVP (Minimum Viable Product) is the simplest version of a product with core features for testing.,Product Manager,Easy
46,What is user research?,"User research gathers insights about users' needs, behaviors, and pain points.",Product Manager,Easy
47,What is a product lifecycle?,"A product lifecycle includes stages like introduction, growth, maturity, and decline.",Product Manager,Medium
48,What is the purpose of OKRs in product management?,OKRs (Objectives and Key Results) help track product goals and measure success.,Product Manager,Medium
49,What are the key metrics for product success?,"Metrics include user engagement, retention, churn rate, and Net Promoter Score (NPS).",Product Manager,Medium
50,What is Agile methodology?,Agile is an iterative approach to product development focusing on collaboration and flexibility.,Product Manager,Medium
51,What is the difference between qualitative and quantitative data?,Qualitative data focuses on insights; quantitative data is numeric and measurable.,Product Manager,Medium
52,"What is a user persona, and why is it important?",A user persona is a fictional representation of a target user to guide product decisions.,Product Manager,Medium
53,How do you prioritize features in product development?,"Using frameworks like MoSCoW, RICE, or Weighted Scoring.",Product Manager,Hard
54,What is the purpose of A/B testing in product management?,A/B testing evaluates the impact of changes by comparing two versions of a product.,Product Manager,Hard
55,How do you manage competing stakeholder priorities?,By aligning with product goals and negotiating trade-offs.,Product Manager,Hard
56,What is a product backlog?,A product backlog is a prioritized list of features and tasks for future development.,Product Manager,Hard
57,What is the difference between B2B and B2C products?,B2B products serve businesses; B2C products serve individual consumers.,Product Manager,Hard
58,How do you define a product's target market?,"By analyzing customer demographics, needs, and competition.",Product Manager,Hard
59,What is the role of data in product decision-making?,"Data drives decisions by identifying trends, validating ideas, and measuring success.",Product Manager,Hard
60,How do you handle product failure?,"By analyzing feedback, identifying root causes, and iterating based on insights.",Product Manager,Hard
61,What is the importance of cross-functional teams?,Cross-functional teams foster collaboration and align product vision with execution.,Product Manager,Hard
62,What is UX design?,UX design focuses on creating meaningful and satisfying user experiences with a product.,UX Designer,Easy
63,"What are wireframes, and why are they important?",Wireframes are skeletal designs that outline layouts and functionalities of interfaces.,UX Designer,Easy
64,What is user research?,User research gathers insights about user needs and behaviors to inform design decisions.,UX Designer,Easy
65,What is a user persona?,A user persona is a fictional representation of a target user's characteristics and goals.,UX Designer,Easy
66,What is usability testing?,Usability testing evaluates a product by testing it with real users to identify issues.,UX Designer,Easy
67,What is the difference between UI and UX?,"UI refers to the visual design of interfaces, while UX focuses on the overall user experience.",UX Designer,Medium
68,What is a customer journey map?,A journey map visualizes the steps a user takes to interact with a product or service.,UX Designer,Medium
69,What is information architecture (IA)?,IA organizes and structures content to enable users to find information easily.,UX Designer,Medium
70,What is a heuristic evaluation?,Heuristic evaluation involves experts reviewing a design against usability principles.,UX Designer,Medium
71,What is the difference between qualitative and quantitative research in UX?,"Qualitative research focuses on understanding user behaviors, while quantitative measures metrics.",UX Designer,Medium
72,What is accessibility in UX design?,Accessibility ensures that products are usable by people with disabilities or impairments.,UX Designer,Medium
73,What is responsive design?,Responsive design adapts a website's layout to fit different screen sizes and devices.,UX Designer,Medium
74,What is the role of typography in UX?,"Typography affects readability, aesthetics, and the overall user experience of a product.",UX Designer,Hard
75,What is the Gestalt principle in UX design?,Gestalt principles describe how humans perceive visual elements as unified wholes.,UX Designer,Hard
76,What is progressive disclosure in UX?,Progressive disclosure involves revealing information incrementally to reduce cognitive load.,UX Designer,Hard
77,What are the differences between low-fidelity and high-fidelity prototypes?,"Low-fidelity prototypes are rough sketches, while high-fidelity prototypes are interactive and detailed.",UX Designer,Hard
78,How do you measure the success of a UX design?,"Through metrics like task completion rate, time on task, user satisfaction, and Net Promoter Score.",UX Designer,Hard
79,What is the purpose of card sorting in UX design?,Card sorting helps organize information by understanding how users categorize content.,UX Designer,Hard
80,What is the role of UX in Agile development?,UX in Agile ensures design processes align with iterative development and user feedback.,UX Designer,Hard
81,How do you ensure usability for a global audience?,"By considering cultural differences, localization, and testing with users from different regions.",UX Designer,Hard
