Question No.,Question,Answer,Category,Difficulty
1,What is the difference between a stack and a queue?,"A stack is a LIFO (Last In, First Out) structure, while a queue is a FIFO (First In, First Out) structure.",Software Engineer,Easy
2,Explain the concept of recursion with an example.,Recursion is a process where a function calls itself directly or indirectly. Example: Calculating factorial of a number.,Software Engineer,Easy
3,What are the four pillars of Object-Oriented Programming?,"The four pillars are encapsulation, inheritance, polymorphism, and abstraction.",Software Engineer,Medium
4,How does garbage collection work in Java?,"Garbage collection automatically deallocates memory by removing objects no longer in use, preventing memory leaks.",Software Engineer,Medium
5,Design a simple URL shortening service.,"The service would map a long URL to a short URL using hashing or an incremental ID, stored in a database. It should handle collisions and ensure scalability.",Software Engineer,Hard
6,What are the basic data structures used in computer science?,"Common data structures include arrays, linked lists, stacks, queues, hash tables, trees, and graphs.",Software Engineer,Easy
7,What is the purpose of an index in a database?,An index improves query performance by allowing the database to locate rows more quickly.,Software Engineer,Easy
8,Explain the concept of inheritance in OOP.,"Inheritance allows one class to acquire properties and behaviors of another class, promoting code reuse.",Software Engineer,Easy
9,What is the difference between synchronous and asynchronous programming?,"Synchronous programming executes tasks sequentially, while asynchronous allows non-blocking, parallel task execution.",Software Engineer,Medium
10,What are the main principles of SOLID design?,"SOLID principles include Single Responsibility, Open-Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion.",Software Engineer,Medium
11,"What is multithreading, and why is it used?","Multithreading allows a program to perform multiple tasks concurrently, improving performance for I/O-heavy and parallelizable tasks.",Software Engineer,Medium
12,How would you implement a thread-safe singleton pattern in Java?,Use the 'synchronized' keyword or implement the Singleton using an enum.,Software Engineer,Medium
13,Explain how you would design a distributed caching system.,"Distributed caching requires multiple nodes working together, key-based partitioning, replication for fault tolerance, and consistency strategies.",Software Engineer,Hard
14,What is the purpose of dependency injection?,It helps to manage object creation and promotes decoupling by allowing dependency inversion.,Software Engineer,Medium
15,Describe the process of database normalization.,"Normalization organizes data into tables to reduce redundancy and improve integrity, progressing through normal forms.",Software Engineer,Medium
16,What is the difference between REST and GraphQL?,"REST uses fixed endpoints, while GraphQL allows clients to specify the data they need using queries.",Software Engineer,Medium
17,What are the advantages of using microservices over monolithic architecture?,"Advantages include scalability, modular development, fault isolation, and independent deployments.",Software Engineer,Hard
18,What is the difference between supervised and unsupervised learning?,"Supervised learning uses labeled data, while unsupervised learning finds patterns in unlabeled data.",Data Scientist,Easy
19,Explain the Central Limit Theorem.,The CLT states that the sampling distribution of the mean approaches a normal distribution as the sample size grows.,Data Scientist,Medium
20,How do you handle missing data in a dataset?,"Methods include removing rows/columns, imputing with mean/median/mode, or using advanced techniques like KNN imputation.",Data Scientist,Medium
21,Describe the steps in building a machine learning model.,"Steps include data cleaning, feature selection, model training, hyperparameter tuning, and evaluation.",Data Scientist,Medium
22,Explain the concept of overfitting and how to prevent it.,"Overfitting happens when a model performs well on training data but poorly on unseen data. Prevention methods include cross-validation, regularization, and pruning.",Data Scientist,Hard
23,What is the difference between correlation and causation?,"Correlation indicates a relationship between variables, while causation shows that one variable causes the other.",Data Scientist,Easy
24,What is a confusion matrix?,"A confusion matrix evaluates classification models by displaying true positives, false positives, true negatives, and false negatives.",Data Scientist,Easy
25,What are some common feature scaling techniques?,Standardization (Z-score normalization) and Min-Max scaling are commonly used techniques.,Data Scientist,Easy
26,"What is PCA, and when is it used?",Principal Component Analysis (PCA) reduces dimensionality while retaining most variance in the data.,Data Scientist,Medium
27,Explain the difference between bagging and boosting.,"Bagging combines models independently to reduce variance, while boosting combines models sequentially to reduce bias.",Data Scientist,Medium
28,"What is a recommendation system, and how does it work?","A recommendation system predicts user preferences using techniques like collaborative filtering, content-based filtering, or hybrid methods.",Data Scientist,Hard
29,How do you handle imbalanced datasets?,"Techniques include resampling (oversampling/undersampling), using weighted classes, or employing advanced algorithms like SMOTE.",Data Scientist,Hard
30,What are the assumptions of a linear regression model?,"Assumptions include linearity, independence, homoscedasticity, no multicollinearity, and normally distributed residuals.",Data Scientist,Hard
31,Explain k-means clustering and its limitations.,K-means groups data into clusters based on distance to centroids but struggles with non-linear separations and outliers,Data Scientist,Medium
32,Describe how to identify multicollinearity in a dataset.,Use variance inflation factors (VIF) or correlation matrices to identify highly correlated independent variables.,Data Scientist,Medium
33,What is the role of a Product Manager?,"A Product Manager defines the product vision, prioritizes features, and ensures alignment between business goals and development teams.",Product Manager,Easy
34,How would you handle conflicting stakeholder requirements?,"By prioritizing based on business value, feasibility, and user impact, and facilitating clear communication.",Product Manager,Medium
35,Explain the difference between Agile and Waterfall methodologies.,"Agile is iterative and flexible, while Waterfall is sequential with defined stages like design, development, and testing.",Product Manager,Medium
36,What tools and frameworks do you use for prioritizing features?,"Tools like Jira or Trello and frameworks like MoSCoW, RICE, or Kano Model help evaluate and prioritize feature importance.",Product Manager,Easy
37,How do you measure product success?,"By tracking KPIs like user engagement, Net Promoter Score (NPS), revenue growth, churn rate, and customer satisfaction metrics.",Product Manager,Medium
38,"What is the Product Lifecycle, and why is it important?","The Product Lifecycle consists of introduction, growth, maturity, and decline phases. It's critical for strategy and resource allocation.",Product Manager,Medium
39,How would you create a product roadmap?,"Identify product goals, prioritize features, set milestones, and align roadmap timelines with stakeholder expectations.",Product Manager,Medium
40,How do you perform market research?,"Analyze competitor offerings, conduct user surveys, track industry trends, and study customer feedback to identify market gaps.",Product Manager,Medium
41,"What is A/B testing, and how is it used in product management?",A/B testing compares two versions of a feature or product to determine which performs better based on user data.,Product Manager,Medium
42,How do you balance long-term strategy with short-term goals?,By aligning tactical efforts with overarching business objectives while maintaining flexibility to adapt.,Product Manager,Hard
43,How do you approach creating a Minimum Viable Product (MVP)?,"Identify the core functionality that solves a user problem, build it with minimal effort, and gather feedback for improvements.",Product Manager,Medium
44,What’s your approach to managing cross-functional teams?,"Facilitate clear communication, set shared goals, address team conflicts, and ensure alignment with deadlines.",Product Manager,Medium
45,How do you decide between two competing features for a release?,"Compare based on user impact, cost, technical feasibility, and alignment with product vision and business goals.",Product Manager,Hard
46,What strategies would you use to increase customer retention?,"Improving user experience, providing strong customer support, offering loyalty programs, and conducting regular updates based on feedback.",Product Manager,Hard
47,What is the purpose of wireframes in UX design?,Wireframes serve as blueprints to outline the layout and functionality of a page or product.,UX Designer,Easy
48,What is usability testing?,Usability testing evaluates a product's user-friendliness by observing real users performing tasks.,UX Designer,Medium
49,How would you design for accessibility?,"By following guidelines like WCAG, ensuring text readability, providing alt text for images, and supporting keyboard navigation.",UX Designer,Hard
50,What is user-centered design (UCD)?,"UCD is a design process that prioritizes the needs, preferences, and limitations of end users at each stage of design.",UX Designer,Easy
51,What tools do you use for wireframing and prototyping?,"Common tools include Figma, Sketch, Adobe XD, and Axure for creating low- to high-fidelity prototypes.",UX Designer,Easy
52,Explain the difference between usability and accessibility in design.,"Usability focuses on ease of use for all users, while accessibility ensures usability for people with disabilities.",UX Designer,Medium
